instance_id,onnx,vnnlib,timeout,result,lb_minus_rhs,domains_visited,bab_time,all_time,init_unstable
1,onnx/vgg16-7.onnx,vnnlib/n02033041_dowitcher_global_k50176_eps_0.0001.vnnlib,1200,timeout False,-263.3936767578125,3,2936.275366306305,2953.1488728523254,0
2,onnx/vgg16-7.onnx,vnnlib/n02033041_dowitcher_global_k25088_eps_0.0001.vnnlib,1200,unsat False,1.1967432498931885,0,774.5591979026794,788.0193290710449,0
3,onnx/vgg16-7.onnx,vnnlib/n02033041_dowitcher_global_k12544_eps_0.0001.vnnlib,1200,unsat False,1.2991557121276855,0,689.3202528953552,702.598646402359,0
4,onnx/vgg16-7.onnx,vnnlib/n02033041_dowitcher_global_k6272_eps_0.0001.vnnlib,1200,unsat False,1.3129546642303467,0,670.1228682994843,683.4244682788849,0
5,onnx/vgg16-7.onnx,vnnlib/n02033041_dowitcher_global_k3136_eps_0.0001.vnnlib,1200,unsat False,1.3176178932189941,0,644.4176254272461,649.6723294258118,0
6,onnx/vgg16-7.onnx,vnnlib/n02033041_dowitcher_global_k1568_eps_0.0001.vnnlib,1200,unsat False,1.3194125890731812,0,596.4846215248108,601.7494752407074,0
7,onnx/vgg16-7.onnx,vnnlib/n02033041_dowitcher_seg0_fixmask_k50176_eps_0.0001.vnnlib,1200,unsat False,1.3113350868225098,0,672.2429432868958,686.9713325500488,0
8,onnx/vgg16-7.onnx,vnnlib/n02033041_dowitcher_seg0_fixmask_k25088_eps_0.0001.vnnlib,1200,unsat False,1.3171021938323975,0,648.3748683929443,653.6047174930573,0
9,onnx/vgg16-7.onnx,vnnlib/n02033041_dowitcher_seg0_fixmask_k12544_eps_0.0001.vnnlib,1200,unsat False,1.3193292617797852,0,612.84375166893,620.4249527454376,0
10,onnx/vgg16-7.onnx,vnnlib/n02033041_dowitcher_seg0_fixmask_k6272_eps_0.0001.vnnlib,1200,unsat False,1.3202439546585083,0,588.3335733413696,595.9632279872894,0
11,onnx/vgg16-7.onnx,vnnlib/n02033041_dowitcher_seg0_fixmask_k3136_eps_0.0001.vnnlib,1200,unsat False,1.3207592964172363,0,588.2244873046875,595.6416518688202,0
12,onnx/vgg16-7.onnx,vnnlib/n02033041_dowitcher_seg0_fixmask_k1568_eps_0.0001.vnnlib,1200,unsat False,1.3209199905395508,0,581.235812664032,588.3928213119507,0
13,onnx/vgg16-7.onnx,vnnlib/n02033041_dowitcher_seg0_fixnonmask_k50176_eps_0.0001.vnnlib,1200,timeout False,-22.253463745117188,3,2674.1559026241302,2688.848077774048,0
14,onnx/vgg16-7.onnx,vnnlib/n02033041_dowitcher_seg0_fixnonmask_k25088_eps_0.0001.vnnlib,1200,unsat False,1.2516212463378906,0,754.6129653453827,768.5647950172424,0
15,onnx/vgg16-7.onnx,vnnlib/n02033041_dowitcher_seg0_fixnonmask_k12544_eps_0.0001.vnnlib,1200,unsat False,1.3038746118545532,0,679.7541108131409,693.7665376663208,0
16,onnx/vgg16-7.onnx,vnnlib/n02033041_dowitcher_seg0_fixnonmask_k6272_eps_0.0001.vnnlib,1200,unsat False,1.3143682479858398,0,662.604730129242,676.6614997386932,0
17,onnx/vgg16-7.onnx,vnnlib/n02033041_dowitcher_seg0_fixnonmask_k3136_eps_0.0001.vnnlib,1200,unsat False,1.3181122541427612,0,632.7014338970184,639.9314503669739,0
18,onnx/vgg16-7.onnx,vnnlib/n02033041_dowitcher_seg0_fixnonmask_k1568_eps_0.0001.vnnlib,1200,unsat False,1.3196663856506348,0,586.2525534629822,591.7205045223236,0
